user_id,QoS_bandwidth,QoS_delay,QoS_jitter,QoA_VLCresolution,QoA_BUFFERINGtime,V_content,V_complexity-class,QoD_model,QoU_sex,QoU_age,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS,QoA_VLCbitrate
140,1024,0.36,0.043,360,1856,1,0,5,1,40,3,5,3,4,3,2001
19,1024,0.435,0.071,360,1858,1,0,6,1,27,1,5,5,5,5,391
65,1024,0.403,0.033,360,1858,1,0,2,1,26,4,4,4,4,3,730
56,1024,0.499,0.018,360,1860,1,0,3,1,27,2,4,5,4,5,557
71,1024,0.472,0.034,360,1862,1,0,3,1,20,4,4,2,4,3,793
22,1024,0.334,0.028,360,1864,1,0,6,0,26,3,5,5,5,5,578
9,1024,0.348,0.043,360,1865,1,0,2,1,27,4,4,4,4,4,400
136,1536,0.289,0.037,360,1867,1,0,4,1,31,4,5,2,3,2,75
134,1536,0.439,0.036,360,1868,1,0,5,1,26,4,5,4,4,4,303
31,1536,0.486,0.078,240,1870,1,0,2,1,25,4,5,4,5,4,71
83,1536,0.354,0.065,240,1870,1,0,2,1,30,4,5,4,4,4,115
7,1024,0.48,0.065,360,1877,2,2,2,0,28,5,5,5,5,5,409
70,1536,0.395,0.07,360,1877,2,2,3,1,18,5,3,3,3,3,574
150,1536,0.432,0.046,360,1881,1,0,5,1,55,4,4,2,4,2,111
73,1536,0.483,0.064,360,1884,1,0,6,1,18,3,2,3,3,3,662
154,2048,0.45,0.033,360,1885,1,0,2,0,30,3,5,1,2,1,94
40,1536,0.487,0.036,360,1890,1,0,3,1,21,4,5,4,4,4,399
145,2048,0.31,0.048,240,1890,1,0,3,1,25,5,2,4,4,4,115
10,2048,0.304,0.043,360,1893,1,0,2,0,25,4,4,5,4,4,196
143,1024,0.41,0.053,360,1895,1,0,7,1,47,5,5,5,5,5,1917
18,2048,0.332,0.032,360,1898,1,0,2,1,33,5,5,5,5,5,401
146,2048,0.487,0.042,360,1898,1,0,3,1,49,4,5,4,4,5,736
14,2048,0.324,0.041,360,1903,1,0,2,1,28,4,4,4,4,4,300
149,2048,0.403,0.06,360,1905,1,0,5,1,33,3,5,5,4,4,399
134,2048,0.487,0.062,360,1905,1,0,5,1,26,4,5,3,3,2,231
74,2048,0.48,0.048,360,1908,1,0,2,1,19,4,3,3,3,4,409
76,2048,0.407,0.061,360,1909,1,0,3,1,21,3,5,4,4,4,528
117,2048,0.334,0.028,360,1914,1,0,5,0,29,4,5,4,4,4,399
143,2048,0.435,0.093,360,1915,1,0,7,1,47,5,5,4,4,4,184
149,2048,0.386,0.052,360,1923,2,2,5,1,33,3,5,3,4,3,69
27,3072,0.454,0.051,360,1923,1,0,2,1,27,3,5,5,1,4,412
30,2048,0.335,0.036,360,1923,2,2,2,1,29,4,5,4,5,4,675
134,1024,0.393,0.026,360,1924,1,0,5,1,26,4,5,2,4,2,83
50,2048,0.444,0.084,360,1924,2,2,4,1,25,3,5,3,4,3,442
