user_id,QoS_bandwidth,QoS_packet-loss,QoS_delay,QoS_jitter,QoA_VLCresolution,QoA_VLCbitrate,QoA_VLCframerate,QoA_BUFFERINGcount,QoA_BUFFERINGtime,QoS_type,V_content,V_complexity-class,QoD_model,QoU_sex,QoU_age,QoU_Ustedy,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS
68,1536,0,0.458,0.078,240,115,24,1,1526,2,1,0,2,1,25,5,4,4,3,3,3
41,2048,0,0.316,0.052,360,413,30,1,1526,5,2,2,2,1,23,5,4,5,5,5,5
144,1536,0,0.414,0.068,360,222,24,1,1531,5,1,0,4,1,41,5,5,5,5,5,5
44,2048,0,0.304,0.039,360,463,25,1,1536,5,1,0,2,1,22,5,4,5,5,4,5
17,2048,0,0.489,0.082,360,528,25,2,1538,4,1,0,3,1,39,5,3,4,4,4,4
70,1536,0,0.377,0.063,360,570,25,1,1543,5,1,0,2,1,18,5,4,4,5,5,5
75,1536,0,0.393,0.054,360,731,25,2,1546,2,2,2,3,1,17,5,4,3,4,4,4
38,2048,0,0.48,0.048,360,397,30,1,1549,5,2,2,2,0,19,5,4,5,5,5,5
145,1536,0,0.347,0.036,360,621,25,1,1550,5,2,2,9,1,25,5,5,5,4,4,4
38,2048,0,0.505,0.051,360,573,30,2,1553,4,2,2,4,0,19,5,4,5,5,5,5
38,1024,0,0.341,0.044,360,378,25,1,1553,5,1,0,2,0,19,5,3,5,3,4,3
49,1024,0,0.433,0.038,360,494,25,1,1556,3,2,2,6,1,24,5,3,5,4,4,4
144,2048,0,0.334,0.028,240,50,12,2,1557,5,2,2,8,1,41,5,5,5,4,4,4
75,1536,0,0.48,0.065,360,392,30,1,1559,2,1,0,2,1,17,5,4,5,5,4,5
142,1024,0,0.429,0.037,360,564,25,1,1567,5,2,2,5,1,36,5,5,5,4,3,4
132,2048,0,0.33,0.027,360,897,30,2,1568,2,2,2,5,1,30,5,4,5,5,5,5
80,1536,0,0.488,0.077,360,196,24,1,1577,3,2,2,6,1,21,5,3,4,4,4,4
10,2048,0,0.412,0.048,240,119,24,1,1579,2,2,2,6,0,25,5,3,5,3,4,3
82,2048,0,0.438,0.044,240,71,25,1,1580,5,2,2,2,1,26,5,4,5,4,4,4
18,2560,0,0.486,0.078,360,662,25,1,1584,5,1,0,2,1,33,5,4,5,4,4,4
78,2048,0,0.408,0.033,360,563,25,1,1586,3,2,2,2,1,19,5,3,5,4,4,4
79,2048,0,0.477,0.05,360,563,25,1,1586,3,2,2,2,1,25,5,3,5,4,4,4
94,2048,0,0.313,0.072,360,528,25,1,1589,5,2,2,4,1,26,5,4,5,5,5,5
151,1024,0,0.3,0.039,360,732,25,1,1594,5,2,2,3,1,33,5,4,5,3,4,4
45,1024,0,0.531,0.076,360,413,30,1,1595,5,2,2,2,1,23,5,3,5,5,3,5
82,1536,0,0.436,0.046,360,442,25,1,1602,5,2,2,2,1,26,5,4,5,5,4,3
81,2048,0,0.341,0.033,360,457,25,1,1610,5,2,2,2,1,18,5,3,5,4,4,4
27,3072,0,0.496,0.116,360,578,30,1,1614,5,1,0,2,1,27,5,3,5,5,5,5
67,2048,0,0.377,0.056,240,115,24,1,1616,5,2,2,2,1,26,5,4,5,4,4,4
46,1024,0,0.305,0.047,240,119,24,1,1619,3,2,2,6,1,25,5,4,5,4,4,4
89,1536,0,0.418,0.039,360,187,30,1,1621,2,2,2,1,0,23,5,3,5,4,4,4
42,2048,0,0.3,0.033,360,408,30,1,1621,3,1,0,6,1,26,5,4,5,5,5,5
135,2048,0,0.39,0.051,360,1984,25,1,1621,5,2,2,5,1,25,5,4,5,4,3,4
45,2048,0,0.332,0.032,360,327,30,1,1621,5,2,2,2,1,23,5,4,5,2,4,3
41,1024,0,0.308,0.055,360,725,25,1,1622,5,2,2,2,1,23,5,4,5,5,5,5
78,2560,0,0.48,0.073,360,196,24,1,1622,5,1,0,2,1,19,5,4,5,4,5,4
144,3584,0,0.334,0.065,360,109,12,1,1623,5,1,0,5,1,41,5,5,5,1,5,1
75,3072,0,0.284,0.032,360,662,25,1,1623,5,1,0,6,1,17,5,4,4,4,4,3
17,2560,0,0.386,0.052,360,391,30,1,1626,2,1,0,6,1,39,5,3,3,3,4,4
145,2048,0,0.403,0.06,360,704,25,1,1626,5,1,0,9,1,25,4,5,5,4,5,4
71,1024,0,0.377,0.063,360,473,25,1,1627,2,1,0,6,1,20,5,5,5,4,4,4
